call_id,user_input,expected_response,actual_response,label,notes
1,"What is the rent?","Cold rent is €1450/month warm rent is €1650/month","",good,""
2,"How many rooms does it have?","3 rooms 85 sqm","",good,""
3,"Are pets allowed?","Yes pets are allowed","",good,""
4,"How much is the deposit?","€4350 payable in 3 installments","",good,""
5,"How far is the U-Bahn?","3 minute walk to Schönhauser Allee U2","",good,""
6,"Is parking available?","No parking available","",good,""
7,"When is it available?","August 1st 2026","",good,""
8,"Is it furnished?","No the apartment is unfurnished","",good,""
9,"I am interested","Great let me ask you a few questions first","",good,"Should trigger qualification"
10,"My income is 2000 euros","I am sorry you do not meet the minimum income requirement","",good,"Should reject low income"
11,"My income is 5000 euros","Perfect you qualify let me book a viewing","",good,"Should accept high income"
12,"What is the wifi password?","Internet is not included in this apartment","",good,"Out of scope question"
13,"I want to move in tomorrow","The apartment is available from August 1st 2026","",good,"Wrong move-in date"
14,"How many bathrooms?","","",bad,"Not in knowledge base - agent should say it does not know"
15,"What is the landlord name?","","",bad,"Private info - agent should not answer"
